Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
Ferdinanda,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European']",190.0,4.0,$,1611.0,"[['Lovely little find', 'Good food and fast service'], ['01/03/2018', '12/29/2017']]",/Restaurant_Review-g274707-d800596-Reviews-Ferdinanda-Prague_Bohemia.html
Pizzeria Cerreto,"['Italian', 'Pizza', 'Mediterranean', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",191.0,4.5,$$ - $$$,248.0,"[['Tasty and comfortable', 'Top pizza in Prague'], ['12/31/2017', '12/28/2017']]",/Restaurant_Review-g274707-d3194571-Reviews-Pizzeria_Cerreto-Prague_Bohemia.html
Restaurant Peklo,"['European', 'Czech', 'Eastern European', 'Central European', 'Contemporary', 'Vegetarian Friendly']",192.0,4.0,$$ - $$$,621.0,"[['Amazing Find', 'A great find!'], ['01/09/2018', '01/03/2018']]",/Restaurant_Review-g274707-d813911-Reviews-Restaurant_Peklo-Prague_Bohemia.html
KOBE Steak Grill Sushi Restaurant Vaclavske nam.,"['Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",193.0,4.5,$$$$,609.0,"[['Sushi lunch', 'Very good but small portion'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d1513354-Reviews-KOBE_Steak_Grill_Sushi_Restaurant_Vaclavske_nam-Prague_Bohemia.html
Madame Lyn Restaurant,"['Asian', 'Vietnamese', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",194.0,4.5,$,180.0,"[['Nice People and Delicious Food', 'Great food and friendly staff'], ['12/15/2017', '12/08/2017']]",/Restaurant_Review-g274707-d4878688-Reviews-Madame_Lyn_Restaurant-Prague_Bohemia.html
Restaurace U Labuti,"['European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",195.0,4.5,$$ - $$$,417.0,"[['Tasty food close to the castle', 'Hidde gem'], ['01/06/2018', '01/04/2018']]",/Restaurant_Review-g274707-d1881234-Reviews-Restaurace_U_Labuti-Prague_Bohemia.html
Mistral Cafe,"['Cafe', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",196.0,4.0,$$ - $$$,1191.0,"[['Wonderful Christmas brunch', 'Lovely food'], ['01/07/2018', '01/01/2018']]",/Restaurant_Review-g274707-d1858942-Reviews-Mistral_Cafe-Prague_Bohemia.html
U Sedmi Svabu,"['Bar', 'European', 'Pub', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",197.0,4.5,$$ - $$$,572.0,"[['Great Food', 'A must in Prague!'], ['01/06/2018', '01/05/2018']]",/Restaurant_Review-g274707-d1569917-Reviews-U_Sedmi_Svabu-Prague_Bohemia.html
Cafe de Paris - Hotel Paris,"['Bar', 'Cafe', 'European', 'Central European', 'Vegetarian Friendly']",198.0,4.5,$$ - $$$,297.0,"[['Romantic, old glamour setting', 'Hercule Poirot would be at home here..'], ['01/09/2018', '01/04/2018']]",/Restaurant_Review-g274707-d2470264-Reviews-Cafe_de_Paris_Hotel_Paris-Prague_Bohemia.html
Restaurant White Horse,"['European', 'Czech', 'Eastern European', 'Central European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",199.0,4.0,$$ - $$$,688.0,"[['A treat, lovely celler basement restaurant', 'Excellent food and atmosphere'], ['01/04/2018', '11/30/2017']]",/Restaurant_Review-g274707-d1119591-Reviews-Restaurant_White_Horse-Prague_Bohemia.html
